word: liziqi         	frequency: 750
word: video          	frequency: 115
word: channel        	frequency: 98
word: nonton         	frequency: 82
word: youtube        	frequency: 77
word: watch          	frequency: 57
word: aku            	frequency: 55
word: like           	frequency: 50
word: life           	frequency: 49
word: dianxi         	frequency: 48
word: sama           	frequency: 44
word: dan            	frequency: 38
word: bgt            	frequency: 35
word: food           	frequency: 32
word: chinese        	frequency: 31
word: banget         	frequency: 30
word: dia            	frequency: 30
word: xiaoge         	frequency: 29
word: suka           	frequency: 26
word: new            	frequency: 26
word: kalo           	frequency: 26
word: aja            	frequency: 26
word: ada            	frequency: 26
word: jadi           	frequency: 26
word: kaya           	frequency: 26
word: bisa           	frequency: 25
word: yang           	frequency: 25
word: love           	frequency: 25
word: make           	frequency: 25
word: cook           	frequency: 24
word: hidup          	frequency: 24
word: liat           	frequency: 24
word: apa            	frequency: 23
word: mau            	frequency: 22
word: live           	frequency: 22
word: get            	frequency: 21
word: gue            	frequency: 21
word: ini            	frequency: 21
word: pengen         	frequency: 21
word: itu            	frequency: 21
word: que            	frequency: 20
word: gitu           	frequency: 20
word: juga           	frequency: 20
word: bikin          	frequency: 20
word: lagi           	frequency: 20
word: mba            	frequency: 19
word: tapi           	frequency: 19
word: one            	frequency: 18
word: day            	frequency: 18
word: youtuber       	frequency: 18
