word: trump          	frequency: 217
word: get            	frequency: 49
word: vote           	frequency: 45
word: biden          	frequency: 41
word: president      	frequency: 39
word: say            	frequency: 35
word: people         	frequency: 35
word: like           	frequency: 33
word: would          	frequency: 30
word: lose           	frequency: 26
word: know           	frequency: 26
word: take           	frequency: 25
word: election       	frequency: 25
word: state          	frequency: 24
word: american       	frequency: 22
word: still          	frequency: 21
word: million        	frequency: 21
word: time           	frequency: 21
word: right          	frequency: 20
word: make           	frequency: 19
word: need           	frequency: 19
word: want           	frequency: 17
word: one            	frequency: 17
word: think          	frequency: 17
word: even           	frequency: 16
word: mitch          	frequency: 16
word: donald         	frequency: 16
word: come           	frequency: 16
word: lie            	frequency: 16
word: republican     	frequency: 16
word: give           	frequency: 16
word: fuck           	frequency: 15
word: mcconnell      	frequency: 15
word: look           	frequency: 15
word: evidence       	frequency: 15
word: see            	frequency: 15
word: country        	frequency: 15
word: mean           	frequency: 15
word: check          	frequency: 14
word: death          	frequency: 14
word: well           	frequency: 14
word: work           	frequency: 14
word: block          	frequency: 13
word: keep           	frequency: 13
word: please         	frequency: 13
word: fraud          	frequency: 13
word: thing          	frequency: 13
word: much           	frequency: 12
word: stop           	frequency: 12
word: love           	frequency: 12
